Id;aÁoes;ativo;fechamento_ajustado
333;DIRECIONAL_ON;DIRR3;0.00
334;DOHLER_PN;DOHL4;0.00
335;DOHLER_ON;DOHL3;0.00
336;DON_CAROLINA_PNA_PNA;CRVD5L;0.00
337;DTCOM_PN;DTCY4;0.00
338;DTCOM_ON;DTCY3;0.00
339;DTCOM_ON;DTCY1;0.00
340;DURATEX_ON;DTEX3;0.00
341;E_OULG11_B;OULG12B;0.00
342;ECO_SEC_AGRO;ECOA-CRAA50B;0.00
343;Eco_Securitizadora_Direi...;ECOA-CRAA40B;0.00
344;Eco_Securitizadora_Direi...;ECOA-CRA93B0;0.00
345;ECO_SEC_AGRO;ECOA-CRAA5B0;0.00
346;Eco_Securitizadora_Direi...;ECOA-CRA94B0;0.00
347;Eco_Securitizadora_Direi...;ECOA-CRAA6B0;0.00
348;Eco_Securitizadora_Direi...;ECOA-CRAC5B0;0.00
349;Eco_Securitizadora_Direi...;ECOA-CRAC50B;0.00
350;Eco_Securitizadora_Direi...;ECOA-CRAA7B0;0.00
351;Eco_Securitizadora_Direi...;ECOA-CRA92B0;0.00
352;Eco_Securitizadora_Direi...;ECOA-CRAA60B;0.00
353;Eco_Securitizadora_Direi...;ECOA-CRAA4B0;0.00
354;Eco_Securitizadora_Direi...;ECOA-CRA050B;0.00
355;ECO_SEC_AGRO;ECOA-CRA81B0;0.00
356;Eco_Securitizadora_Direi...;ECOA-CRA05B0;0.00
357;Eco_Securitizadora_Direi...;ECOA-CRA80B0;0.00
358;ECORODOVIAS_ON;ECOR3;0.00
359;Edipan_Agropecuaria_PNB;EDPN6L;0.00
360;ENERGIAS_BR_ON;ENBR3;0.00
361;AÇO_ALTONA_PN;EALT4;0.00
362;AÇO_ALTONA_ON;EALT3;0.00
363;ELEKEIROZ_ON;ELEK3L;0.00
364;ELEKEIROZ_ON;ELEK3;0.00
365;ELEKEIROZ_PN;ELEK4;0.00
366;ELEKEIROZ_PN;ELEK4L;0.00
367;ELEKEIROZ_PN;ELEK12L;0.00
368;ELEKEIROZ_ON;ELEK11L;0.00
369;ELEKTRO_PN;EKTR4;0.00
370;ELEKTRO_ON;EKTR3;0.00
371;ELETROPAR_ON;LIPR3;0.00
372;ELETRON_ON;ETRO3B;0.00
373;ELETROPAULO_ON;ELPL3;0.00
374;ELETROPAULO_ON;ELPL3L;0.00
375;EMAE_PN;EMAE4;0.00
376;EMAE_ON;EMAE3;0.00
377;EMBRAER_ON;EMBR3;0.00
378;Empreendimentos_Pague_Me..._ON;PGMN3;0.00
379;ENCORPAR_PN;ECPR4;0.00
380;ENCORPAR_ON;ECPR3;0.00
381;ENAUTA_ON;ENAT3;0.00
382;ENERGISA_MT_PN;ENMT2;0.00
383;ENERGISA_MT_ON;ENMT1;0.00
384;ENERGISA_MT_ON;ENMT3;0.00
